ClientID,LastName,FirstName,Address,City,State,ZIP,Email,Phone,ExpectedGraduation,CollegeID,LoanAmount,Comments
001165,Sanchez,Alvaro,947 Reeve Boulevard,Elizabeth,NJ,07202,alvsanchez28478@compuserve.com,969-295-5493,2019,COU001,4120,
001171,Evans,Jennifer,1604 Berry Patch Avenue,Carteret,NJ,07008,jenevans18976@ymail.com,857-312-3090,2018,ESS001,3880,
001177,Wilson,Daniel,1266 Sagwon Road,Oak Ridge,NJ,07438,dawilson20639@hotmail.com,600-479-2660,2019,ATL001,1860,
001187,Inoue,Yasuo,301 Tanglewood Circle,Hasbrouck Heights,NJ,07604,yinoue19407@hotmail.com,969-724-5170,2018,SUS001,3310,
001191,Gonzalez,Riya,1071 Monarch Court,Weehawken,NJ,07086,rigonzalez19132@optonline.net,857-836-9874,2020,PRI001,33060,
001194,Hayashi,Tadashi,2199 Graham Place,Paterson,NJ,07544,tadhayashi10842@yahoo.com,998-249-5519,2018,GEO001,12720,
001202,Hayashi,Shigeru,1047 River Circle,Alpine,NJ,07620,shhayashi18319@live.com,822-703-4556,2019,OCE001,21930,
001204,Bishara,Edelmira,949 Applewood Terrace,Roselle Park,NJ,07204,edbishara19853@zohomail.com,224-909-8309,2020,SUS001,8060,
001209,Hu,Guo,2326 The Sun Loft Way,Linden,NJ,07036,guhu21124@mail.com,830-633-9464,2019,PRI001,24960,
001218,Kwon,Min,2385 Totem Place,Edgewater,NJ,07020,mkwon20356@zohomail.com,833-444-2702,2019,BER002,18850,
001223,Flores,Rodrigo,1773 Clemens Drive,Secaucus,NJ,07094,rflores14960@compuserve.com,424-580-4759,2018,STO001,12360,
001232,Shimizu,Kazuo,1813 Baronik Highway,Boonton,NJ,07005,kshimizu24175@zohomail.com,300-308-7418,2018,STO001,15020,
